feature,VIF-demean,VIF-NoDemean
FNS,1.9028370486707524,2.3603560373489803
FNT,1.8953211819953635,2.176128086889923
FPS,1.949763684497016,2.401320341142776
FPT,1.9069760505100986,2.501948232865535
RNS,1.3886969956929356,1.4052641616364963
RNT,1.3036334317908542,1.2885589670336637
RPS,1.5029108661490331,1.5093847361754875
RPT,1.1745137376694736,1.308645465608616
r_FNS,1.2321877497031495,1.5528297265367936
r_FNT,1.239656530578007,1.576222430330702
r_FPS,1.2421273441154124,1.5206806163195914
r_FPT,1.2990177086810741,1.4901626071735015
r_RNS,1.387938975265248,1.6476107781278377
r_RNT,1.2682569663357717,1.5455923004077536
r_RPS,1.614692661897774,1.7105792170854013
r_RPT,1.032926146131332,1.2402492018126317
l-CrusII_seed,6.30049198481558,9.847958566585543
gPPI_FNS,1.9782938835219648,2.2167693280712775
gPPI_FNT,2.9401526921861634,2.1169805301256455
gPPI_FPS,4.017138138416032,2.2171148959667244
gPPI_FPT,2.358007429763016,2.39247217706885
gPPI_RNS,1.5770711029223512,1.4979733537760067
gPPI_RNT,1.7223901171649023,1.8493964740767228
gPPI_RPS,2.873060900453389,1.2967436704308477
gPPI_RPT,1.6683736368742992,1.5638385903084207
gPPI_rate_FNS,1.1297030313566845,1.2535978437497308
gPPI_rate_FNT,1.175302490797753,1.148511787815018
gPPI_rate_FPS,1.2714727540663469,1.3710716948690456
gPPI_rate_FPT,1.280265007261493,1.3136604171668884
gPPI_rate_RNS,1.0964187792606195,1.1431872858552163
gPPI_rate_RNT,1.0970637001427357,1.2307792921326002
gPPI_rate_RPS,1.1861328378085,1.2051019950067772
gPPI_rate_RPT,1.1680476229778392,1.159482826258664
